"Reference","Value","Footprint","QUANTITY","DNP"
"AE1","PCB-IFA (v1 geometry)","f91_footprints:ANT_v1_IFA","1",""
"BT1","LiPo 150mAh","f91_footprints:BatteryPads","1",""
"C2-C4,C6,C8,C9,C11,C18,C30,C31,C34,C35,C37-C39","100nF","Capacitor_SMD:C_0402_1005Metric","15",""
"C5,C7","22uF","Capacitor_SMD:C_0603_1608Metric","2",""
"C10,C29,C32,C33,C36,C40","1uF","Capacitor_SMD:C_0402_1005Metric","6",""
"C12,C13","12pF","Capacitor_SMD:C_0402_1005Metric","2",""
"C14,C15","DNP","Capacitor_SMD:C_0402_1005Metric","2",""
"C16,C17","10uF","Capacitor_SMD:C_0603_1608Metric","2",""
"C19","BENCH-C1a","Capacitor_SMD:C_0603_1608Metric","1",""
"C20","DNP-C1b","Capacitor_SMD:C_0603_1608Metric","1",""
"C21","BENCH-C2a","Capacitor_SMD:C_0402_1005Metric","1",""
"C22","DNP-C2b","Capacitor_SMD:C_0402_1005Metric","1",""
"C23,C24","10nF","Capacitor_SMD:C_0402_1005Metric","2",""
"C25,C26","470nF","Capacitor_SMD:C_0402_1005Metric","2",""
"C27,C28","22nF","Capacitor_SMD:C_0402_1005Metric","2",""
"FB1","BLM18HE152SN1","Inductor_SMD:L_0603_1608Metric","1",""
"FL1","LFB182G45BG5D920","f91_footprints:Murata_LFB18_1608","1",""
"J1","LS013B7DH03 FPC","Connector_FFC-FPC:Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal","1",""
"L2","6.8uH MLZ2012N6R8LT000","Inductor_SMD:L_0805_2012Metric","1",""
"Q1","FS8205A","Package_SO:TSSOP-8_3x3mm_P0.65mm","1",""
"R1,R9,R12","100k","Resistor_SMD:R_0402_1005Metric","3",""
"R2","0R","Resistor_SMD:R_0402_1005Metric","1",""
"R3","100R","Resistor_SMD:R_0402_1005Metric","1",""
"R4,R11","1k","Resistor_SMD:R_0402_1005Metric","2",""
"R5","3.92k","Resistor_SMD:R_0402_1005Metric","1",""
"R6","200R","Resistor_SMD:R_0402_1005Metric","1",""
"R7","2.4k","Resistor_SMD:R_0402_1005Metric","1",""
"R8","10k","Resistor_SMD:R_0402_1005Metric","1",""
"R10","470R","Resistor_SMD:R_0402_1005Metric","1",""
"R13,R14","3.3k","Resistor_SMD:R_0402_1005Metric","2",""
"SW1","BTN1/BSL","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","1",""
"SW2","BTN2","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","1",""
"SW3","BTN3","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","1",""
"TP1","POGO_VCC","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"TP2","POGO_GND","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"TP3","POGO_RST","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"TP4","POGO_TMS","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"TP5","POGO_TCK","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"TP6","POGO_TX","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"TP7","POGO_RX","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"TP8","PIEZO_CONTACT","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"TP9","COIL1","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"TP10","COIL2","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"TP11","CHG+","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"TP12","CHG-","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"TP13","MOTOR+","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"TP14","MOTOR-","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"TP15","NFC_A","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"TP16","NFC_B","TestPoint:TestPoint_Pad_1.5x1.5mm","1",""
"U1","CC2652R7RGZ","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm","1",""
"U2","BQ51050B","f91_footprints:VQFN-20-1EP_4.5x3.5mm_P0.5mm","1",""
"U3","DW01A","Package_TO_SOT_SMD:SOT-23-6","1",""
"U4","XC6206P302MR","Package_TO_SOT_SMD:SOT-23","1",""
"U5","LIS2DW12","Package_LGA:LGA-12_2x2mm_P0.5mm","1",""
"U6","DRV2605L","f91_footprints:VSSOP-10_3x3mm_P0.5mm","1",""
"U7","ST25DV04K","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"W1","0R-COIL2","Resistor_SMD:R_0402_1005Metric","1",""
"Y1","48MHz FA-128","f91_footprints:Crystal_SMD_3215-4Pin_3.2x1.5mm","1",""
"Y2","32.768kHz FC-135","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","1",""
